,Country,City,Latitude,Longitude,Date,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,AR,san luis,-33.295,-66.3356,1647747113,58.98,44,59,11.65
1,MA,agadir,30.4202,-9.5982,1647747113,59.45,87,56,4.43
2,GF,sinnamary,5.3833,-52.95,1647747114,76.33,89,100,11.97
3,GB,brae,60.3964,-1.353,1647747114,44.74,69,62,25.75
4,AU,new norfolk,-42.7826,147.0587,1647747115,68.92,52,100,1.01
5,PT,ponta do sol,32.6667,-17.1,1647747115,59.05,77,49,14.85
6,US,hilo,19.7297,-155.09,1647747115,78.53,79,75,10.36
7,US,laguna,38.421,-121.4238,1647747115,57.49,78,100,8.05
8,TC,cockburn town,21.4612,-71.1419,1647747116,77.72,78,1,23.38
9,AU,busselton,-33.65,115.3333,1647747116,78.8,50,100,7.38
10,JP,naze,28.3667,129.4833,1647747084,65.32,58,40,5.28
11,HK,victoria,22.2855,114.1577,1647747009,74.17,89,97,18.01
12,VE,la asuncion,11.0333,-63.8628,1647747117,75.94,86,47,14.27
13,AU,carnarvon,-24.8667,113.6333,1647747117,82.47,74,75,12.66
14,US,albany,42.6001,-73.9662,1647747117,53.22,92,61,7.05
15,RU,vostok,46.4856,135.8833,1647747117,23.41,71,100,7.65
16,MG,sambava,-14.2667,50.1667,1647747118,77.5,88,100,5.41
17,EC,puerto ayora,-0.7393,-90.3518,1647747118,78.33,81,25,4.38
18,CA,pangnirtung,66.1451,-65.7125,1647747118,-22.14,77,13,6.29
19,RU,tiksi,71.6872,128.8694,1647747118,10.51,77,100,24.79
20,US,griffith,41.5284,-87.4237,1647747119,41.09,95,40,3.44
21,CA,ferme-neuve,46.7001,-75.4493,1647747119,33.8,99,100,2.13
22,CL,punta arenas,-53.15,-70.9167,1647747119,48.31,71,0,11.5
23,LR,harper,4.375,-7.7169,1647747120,78.3,89,56,5.14
24,GL,upernavik,72.7868,-56.1549,1647747120,-5.13,97,100,9.06
25,CN,jiaojiang,28.6803,121.4428,1647747120,55.0,87,100,5.46
26,ID,srandakan,-7.9386,110.2506,1647747120,85.48,70,90,9.28
27,SD,kutum,14.2,24.6667,1647747120,58.93,12,16,5.35
28,NZ,mataura,-46.1927,168.8643,1647747121,68.49,45,37,4.18
29,US,fortuna,40.5982,-124.1573,1647747121,47.66,78,75,16.11
30,ZA,port elizabeth,-33.918,25.5701,1647747121,69.31,99,100,5.01
31,TR,bulancak,40.9372,38.2291,1647747121,37.22,60,75,4.61
32,US,stephenville,32.2207,-98.2023,1647747122,62.92,28,0,8.05
33,RU,anzhero-sudzhensk,56.081,86.0285,1647747122,16.9,90,100,13.47
34,US,barrow,71.2906,-156.7887,1647747122,-9.38,70,0,9.22
35,CA,haines junction,60.7522,-137.5108,1647747123,30.15,55,19,2.3
36,IN,tezu,27.9167,96.1667,1647747123,92.3,22,80,3.67
37,AR,ushuaia,-54.8,-68.3,1647746895,38.28,87,100,11.1
38,ZA,hermanus,-34.4187,19.2345,1647747123,70.81,89,31,9.51
39,JP,hasaki,35.7333,140.8333,1647747123,57.6,54,99,5.44
40,AU,alice springs,-23.7,133.8833,1647747124,92.75,17,0,19.57
41,US,san patricio,28.017,-97.5169,1647747124,64.83,59,0,7.05
42,LY,jalu,29.0331,21.5482,1647747124,51.53,54,57,16.2
43,AU,codrington,-38.2667,141.9667,1647747124,68.77,66,99,10.07
44,AR,buenos aires,-34.6132,-58.3772,1647747125,62.33,61,0,6.91
45,PF,atuona,-9.8,-139.0333,1647747125,78.78,78,11,12.39
46,GL,qaanaaq,77.484,-69.3632,1647747125,-7.98,94,100,6.82
47,GF,cayenne,4.9333,-52.3333,1647747125,77.09,1,75,2.3
48,NO,berlevag,70.8578,29.0864,1647747126,34.61,70,98,31.27
49,PF,rikitea,-23.1203,-134.9692,1647747126,80.64,74,26,10.22
50,PT,praia da vitoria,38.7333,-27.0667,1647747127,56.75,94,40,15.75
51,IR,ravar,31.2656,56.8055,1647747127,59.65,15,0,1.88
52,CL,taltal,-25.4,-70.4833,1647747128,65.48,82,34,1.23
53,RU,chuguyevka,44.1653,133.8633,1647747128,28.36,62,100,6.69
54,CV,praia,14.9215,-23.5087,1647747128,68.54,68,40,17.27
55,CL,lebu,-37.6167,-73.65,1647747128,54.27,72,100,6.44
56,BR,maracas,-13.4411,-40.4308,1647747129,60.94,96,22,3.49
57,IN,mundwa,27.0667,73.8167,1647747129,83.95,28,0,11.74
58,AR,mar del plata,-38.0023,-57.5575,1647747129,55.87,65,0,8.05
59,MV,hithadhoo,-0.6,73.0833,1647747129,83.26,73,100,16.42
60,PK,khanpur,28.6453,70.6567,1647747130,88.14,23,0,10.83
61,AI,the valley,18.217,-63.0578,1647747130,77.14,73,75,13.8
62,AU,hobart,-42.8794,147.3294,1647746983,69.26,63,75,5.75
63,BR,caravelas,-17.7125,-39.2481,1647747130,73.58,90,0,2.48
64,BR,imbituba,-28.24,-48.6703,1647747131,70.83,89,100,8.48
65,VU,isangel,-19.55,169.2667,1647747131,87.91,74,100,5.75
66,US,kapaa,22.0752,-159.319,1647747131,80.58,75,20,10.36
67,RU,beringovskiy,63.05,179.3167,1647747131,13.1,72,12,2.01
