,Country,City,Latitude,Longitude,Date,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
1,MA,agadir,30.4202,-9.5982,1647747113,59.45,87,56,4.43
2,GF,sinnamary,5.3833,-52.95,1647747114,76.33,89,100,11.97
3,GB,brae,60.3964,-1.353,1647747114,44.74,69,62,25.75
5,PT,ponta do sol,32.6667,-17.1,1647747115,59.05,77,49,14.85
6,US,hilo,19.7297,-155.09,1647747115,78.53,79,75,10.36
7,US,laguna,38.421,-121.4238,1647747115,57.49,78,100,8.05
8,TC,cockburn town,21.4612,-71.1419,1647747116,77.72,78,1,23.38
10,JP,naze,28.3667,129.4833,1647747084,65.32,58,40,5.28
11,HK,victoria,22.2855,114.1577,1647747009,74.17,89,97,18.01
12,VE,la asuncion,11.0333,-63.8628,1647747117,75.94,86,47,14.27
14,US,albany,42.6001,-73.9662,1647747117,53.22,92,61,7.05
15,RU,vostok,46.4856,135.8833,1647747117,23.41,71,100,7.65
18,CA,pangnirtung,66.1451,-65.7125,1647747118,-22.14,77,13,6.29
19,RU,tiksi,71.6872,128.8694,1647747118,10.51,77,100,24.79
20,US,griffith,41.5284,-87.4237,1647747119,41.09,95,40,3.44
21,CA,ferme-neuve,46.7001,-75.4493,1647747119,33.8,99,100,2.13
23,LR,harper,4.375,-7.7169,1647747120,78.3,89,56,5.14
24,GL,upernavik,72.7868,-56.1549,1647747120,-5.13,97,100,9.06
25,CN,jiaojiang,28.6803,121.4428,1647747120,55.0,87,100,5.46
27,SD,kutum,14.2,24.6667,1647747120,58.93,12,16,5.35
29,US,fortuna,40.5982,-124.1573,1647747121,47.66,78,75,16.11
31,TR,bulancak,40.9372,38.2291,1647747121,37.22,60,75,4.61
32,US,stephenville,32.2207,-98.2023,1647747122,62.92,28,0,8.05
33,RU,anzhero-sudzhensk,56.081,86.0285,1647747122,16.9,90,100,13.47
34,US,barrow,71.2906,-156.7887,1647747122,-9.38,70,0,9.22
35,CA,haines junction,60.7522,-137.5108,1647747123,30.15,55,19,2.3
36,IN,tezu,27.9167,96.1667,1647747123,92.3,22,80,3.67
39,JP,hasaki,35.7333,140.8333,1647747123,57.6,54,99,5.44
41,US,san patricio,28.017,-97.5169,1647747124,64.83,59,0,7.05
42,LY,jalu,29.0331,21.5482,1647747124,51.53,54,57,16.2
46,GL,qaanaaq,77.484,-69.3632,1647747125,-7.98,94,100,6.82
47,GF,cayenne,4.9333,-52.3333,1647747125,77.09,1,75,2.3
48,NO,berlevag,70.8578,29.0864,1647747126,34.61,70,98,31.27
50,PT,praia da vitoria,38.7333,-27.0667,1647747127,56.75,94,40,15.75
51,IR,ravar,31.2656,56.8055,1647747127,59.65,15,0,1.88
53,RU,chuguyevka,44.1653,133.8633,1647747128,28.36,62,100,6.69
54,CV,praia,14.9215,-23.5087,1647747128,68.54,68,40,17.27
57,IN,mundwa,27.0667,73.8167,1647747129,83.95,28,0,11.74
